,ticker,PE,div_ratio,price
2089,AXNX,-53.687500953674316,0.0,68.72000122070312
1368,VCYT,-52.00000089757582,0.0,26.520000457763672
2413,BKR,-51.67213189797323,0.0,31.520000457763672
725,RCM,-51.38888888888889,0.0,9.25
745,MAC,-50.6129018722042,0.04333970797871672,15.6899995803833
366,ARRY,-48.96551658367289,0.0,14.199999809265137
1102,VTOL,-47.89090936834162,0.0,26.34000015258789
2190,NTNX,-46.15596456265231,0.0,50.310001373291016
1604,IONQ,-45.599998474121094,0.0,11.399999618530273
2325,ESTC,-45.31983904510374,0.0,111.94000244140625
317,NUVL,-45.28484922466856,0.0,74.72000122070312
1316,AKR,-45.18421072708933,0.0,17.170000076293945
1396,ACCO,-44.2857129233224,0.0,6.199999809265137
1359,AA,-44.16176571565516,0.0,30.030000686645508
1333,COLL,-43.932430164234056,0.0,32.5099983215332
2091,DHC,-43.142856870378765,0.0,3.0199999809265137
1378,LZ,-43.119998931884766,0.0,10.779999732971191
1905,GKOS,-42.33971189654045,0.0,88.48999786376953
1001,SBRA,-41.941177143770105,0.0,14.260000228881836
292,SOVO,-41.73585064006301,0.0,22.1200008392334
1658,CNMD,-41.6194033266893,0.0,111.54000091552734
2308,CSR,-41.466666327582466,0.0,55.97999954223633
1982,ELME,-41.027779049343536,0.0,14.770000457763672
1452,INN,-40.937501192092896,0.0,6.550000190734863
40,VRNS,-40.824562206602934,0.0,46.540000915527344
459,OIS,-40.66666603088379,0.0,6.099999904632568
1355,ALKT,-38.874998688697815,0.0,24.8799991607666
1447,FNKO,-38.722221056620285,0.0,6.96999979019165
783,AORT,-38.229167461395264,0.0,18.350000381469727
349,BHF,-37.83823462093577,0.0,51.459999084472656
480,NCNO,-37.720432076402886,0.0,35.08000183105469
1068,PYCR,-37.52830073518573,0.0,19.889999389648438
621,PATH,-36.95000012715658,0.0,22.170000076293945
1813,GPS,-36.7999995838512,0.0,20.239999771118164
65,LGND,-36.66666589602075,0.0,72.5999984741211
1140,IMAX,-36.32499933242798,0.0,14.529999732971191
1509,KRTX,-36.24141876430206,0.0,316.75
1656,PBH,-36.09090862852155,0.0,59.54999923706055
1238,FBRT,-35.842104961997585,0.0,13.619999885559082
383,BILL,-35.54502369668246,0.0,75.0
699,AVPT,-35.34782658452573,0.0,8.130000114440918
2388,MCS,-35.33333264864408,0.0,13.779999732971191
2116,BRK-B,-35.10973362072175,0.0,363.6199951171875
230,CINF,-35.088236191693476,0.027940764862237098,107.37000274658203
224,DOUG,-34.9858472211757,0.020746887227917173,2.4100000858306885
1936,CTLT,-34.73943790919344,0.0,49.33000183105469
248,ATEX,-34.70115003914669,0.0,30.190000534057617
1494,MODN,-34.67948620135967,0.0,27.049999237060547
114,SRI,-34.42307618948129,0.0,17.899999618530273
